country_code,country_name,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Jan-Oct 18,Jan-Oct 19
5200,United Arab Emirates,,,,,,,,,,,,,,,,,,,15,14,24,,,7,4,7,,,
2050,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,16,55,,,,
1220,Canada,,,,,,,,,,,,,,31,,0,,5,,23,,,,,,,,,
5350,Pakistan,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,
6023,Cocos (Keeling) Islands,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,
4000,Iceland,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,
4759,Italy,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
6863,Fiji,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,
5660,Macao (Macau),,,,,,,,,,,,,40,,,,,,,,,,,,,,,,
3570,Argentina,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,
7800,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,
3070,Venezuela,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
4210,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,
5550,Cambodia,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,
3150,Suriname,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
3120,Guyana,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
4099,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,"Total
 ","6,675","22,148","24,952","26,594","33,659","42,158","47,475","60,188","61,231","85,428","89,790","108,126","126,618","124,724","133,784","103,491","109,496","97,388","90,152","87,412","77,739","92,097","87,901","91,061","92,528","81,763","91,922","71,764","77,413"
3310,Ecuador,,22,75,249,994,"1,327","1,424","3,982","7,171","10,923","14,524","20,717","22,407","23,370","23,966","26,184","18,640","19,974","17,321","16,848","16,246","10,723","5,374","6,267","4,547","2,799","1,833","1,632","1,426"
2150,Honduras,,44,77,152,282,361,960,"1,701","2,288","3,168","6,347","6,286","8,910","14,488","15,984","17,377","18,368","14,356","15,973","17,814","17,200","18,066","21,585","19,604","19,655","17,401","16,827","14,461","13,759"
2230,Costa Rica,310,970,"1,574","1,911","2,383","3,650","4,864","5,093","5,917","6,854","7,068","8,810","9,018","8,232","5,903","10,610","12,271","12,613","12,843","11,837","12,112","14,388","11,412","10,853","10,769","10,639","9,427","7,871","8,873"
3010,Colombia,160,254,191,840,495,12,,7,65,71,,,,381,"1,256","1,615","3,587","3,589","3,960","5,207","6,279","8,513","9,053","11,881","12,032","13,861","14,600","12,547","10,963"
2010,Mexico,,2,43,2,15,3,2,2,,,,,,1,14,4,,,,,10,"3,503","6,870","4,498","3,234","5,080","2,855","2,618","3,504"
3510,Brazil,,,,,,3,,,4,,247,459,712,"2,122","2,231",484,"1,122",583,733,162,24,149,124,313,"1,995","1,422","1,035",937,"1,104"
5830,China (Taiwan),,,,,,19,187,341,182,168,543,621,35,,,,"1,238",458,485,773,"1,023","1,522","1,015",,15,78,212,212,69
2110,El Salvador,,,,,,,,,,,171,416,568,676,503,695,"1,119","1,060",733,760,333,779,189,,,,,,
5700,China (Mainland),,,,4,,,,84,131,421,"1,861","1,889",,,,38,,46,,,446,452,436,301,173,64,,,
5460,Myanmar (Burma),,,,,,,,,,,,,,,,,,,,,,,,"1,126","1,470","1,875","1,494","1,343",579
2250,Panama,,,,3,3,135,8,44,351,772,325,211,205,185,281,59,42,3,8,22,494,"1,187",,59,,26,41,29,33
2410,Jamaica,,,,6,358,625,401,387,389,202,36,,19,148,607,385,242,,,,,,,,,,,,
3330,Peru,,,,,,,,,,,,,371,96,,12,1,9,121,276,370,443,369,289,229,60,222,190,156
2190,Nicaragua,,,3,20,7,45,15,26,,8,2,6,149,151,5,48,571,949,102,,,,,,,,,,
5600,Indonesia,,,,,,,,,,,,,,22,,,,,,,,,,,,,"1,932","1,076",
2050,Guatemala,,,,,,,,,,,,,,,,,5,,3,,,,92,298,215,460,551,529,
5380,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,30,298,291,206,602,551,212
5350,Pakistan,,,,,,,,,,,,,,,,,,,,,178,210,312,322,158,57,4,4,
5520,Vietnam,,,,,,,,,,,3,37,,92,,,,,,,42,,,366,124,236,197,186,40
3370,Chile,5,1,,28,13,45,4,28,37,33,27,76,27,65,81,73,30,1,7,14,31,33,77,77,122,,2,2,11
2080,Belize,,,,,,,,,,,,,286,163,100,71,45,21,,,,,,,,,,,
5490,Thailand,,,,,,,,,,4,56,14,,,,,76,39,,,44,132,,,42,6,,,2
5820,Hong Kong,,,,,,,,,,8,,,,,,,116,,,,,,,,,,,,
1220,Canada,2,,,1,,,,,,,2,1,2,,,44,27,,,,5,3,,,1,1,,,
5330,India,,,,,,,48,,,,,,,,,,,,,,,,2,,4,,,,
5650,Philippines,,,,,,,,,,,,,,,,,,,,,5,20,,,28,,,,
5590,Singapore,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
3120,Guyana,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,
